start_datetime duration liters month hour day max_flow fixture
1558351796 39 1913 5 13 0 51 kitchenfaucet
1552691937 38 1912 3 0 5 112 washbasin
1564554504 30 1903 7 8 2 87 bidet
1569508958 35 1902 9 16 3 58 bidet
1560469582 55 1898 6 1 4 38 kitchenfaucet
1568811519 43 1896 9 14 2 47 kitchenfaucet
1570906718 20 1891 10 20 5 105 washbasin
1557292463 60 1890 5 7 2 33 kitchenfaucet
1571966938 62 1890 10 3 4 33 washbasin
1560674392 45 1889 6 10 6 45 bidet
1558262609 39 1885 5 12 6 49 washbasin
1561933683 34 1882 7 0 0 60 washbasin
1567405032 62 1876 9 8 0 31 bidet
1570377655 43 1876 10 18 6 126 washbasin
1559641453 37 1872 6 11 1 65 bidet
1554538380 48 1868 4 10 5 42 bidet
1570709750 28 1867 10 14 3 94 bidet
1568751359 40 1867 9 22 1 51 kitchenfaucet
1567558479 64 1864 9 2 2 31 bidet
1552321567 37 1863 3 17 0 56 bidet
1568451094 33 1862 9 10 5 60 bidet
1556705568 108 1861 5 12 2 29 washbasin
1569830396 42 1859 9 9 0 49 washbasin
1567664122 34 1858 9 8 3 56 bidet
1571473549 96 1858 10 10 5 40 kitchenfaucet
1562567133 36 1850 7 8 0 54 bidet
1572147957 65 1849 10 4 6 29 washbasin
1570920802 40 1847 10 0 6 49 kitchenfaucet
1551900988 48 1847 3 20 2 40 washbasin
1563094757 36 1845 7 10 6 60 washbasin
1563129943 42 1845 7 20 6 49 washbasin
1554626595 61 1844 4 10 6 33 washbasin
1559541509 119 1844 6 7 0 18 washbasin
1569617238 49 1844 9 22 4 40 washbasin
1551684443 42 1841 3 8 0 47 washbasin
1561422546 21 1841 6 2 1 94 washbasin
1559686935 47 1839 6 0 2 49 kitchenfaucet
1571685580 32 1839 10 21 0 63 kitchenfaucet
1559022102 31 1837 5 7 1 63 washbasin
1561503259 55 1837 6 0 2 58 washbasin
1561797709 49 1834 6 10 5 40 kitchenfaucet
1569915955 16 1833 10 9 1 132 kitchenfaucet
1554811514 54 1832 4 14 1 36 kitchenfaucet
1562787126 67 1832 7 21 2 42 kitchenfaucet
1564992269 28 1830 8 10 0 81 bidet
1563753276 31 1829 7 1 0 60 bidet
1565953002 45 1829 8 12 4 45 bidet
1562803110 31 1828 7 1 3 63 kitchenfaucet
1569138161 32 1827 9 9 6 60 kitchenfaucet
1571773627 45 1827 10 21 1 54 kitchenfaucet
1560847856 31 1827 6 10 1 60 washbasin
1554452794 37 1826 4 10 4 51 bidet
1569277595 48 1823 9 0 1 40 washbasin
1559020964 87 1822 5 7 1 22 washbasin
1569305362 38 1821 9 8 1 51 bidet
1558139049 49 1817 5 2 5 38 washbasin
1553723631 32 1815 3 22 2 60 bidet
1570292311 37 1815 10 18 5 51 washbasin
1568100005 29 1810 9 9 1 67 bidet
1569482131 50 1810 9 9 3 38 kitchenfaucet
1561550500 44 1808 6 14 2 45 kitchenfaucet
1552461540 47 1806 3 8 2 40 washbasin
1550656063 35 1802 2 10 2 56 washbasin
1560147019 87 1795 6 8 0 36 kitchenfaucet
1555396074 87 1794 4 8 1 22 washbasin
1571981648 32 1794 10 7 4 58 washbasin
1561473815 36 1793 6 16 1 51 washbasin
1559916661 22 1792 6 16 4 87 kitchenfaucet
1570720398 40 1791 10 17 3 47 kitchenfaucet
1571773406 27 1787 10 21 1 69 kitchenfaucet
1572177435 47 1786 10 12 6 40 bidet
1569821553 87 1784 9 7 0 24 washbasin
1563114731 46 1783 7 16 6 42 kitchenfaucet
1569060984 80 1777 9 12 5 24 bidet
1569669928 53 1776 9 13 5 36 kitchenfaucet
1569186917 60 1776 9 23 6 31 washbasin
1556451716 67 1774 4 13 6 31 washbasin
1572292176 27 1773 10 20 0 69 kitchenfaucet
1563833675 94 1773 7 0 1 22 washbasin
1567845614 42 1771 9 10 5 47 kitchenfaucet
1563868716 23 1770 7 9 1 137 bidet
1560803945 44 1770 6 22 0 42 kitchenfaucet
1551336789 36 1770 2 7 3 51 washbasin
1550655940 32 1768 2 10 2 58 bidet
1559869987 56 1768 6 3 4 33 washbasin
1567611276 37 1768 9 17 2 51 washbasin
1562266804 27 1766 7 21 3 69 bidet
1563474812 26 1766 7 20 3 72 bidet
1550416796 32 1765 2 16 6 60 washbasin
1565957010 85 1764 8 14 4 40 kitchenfaucet
1551796476 48 1763 3 15 1 38 bidet
1565000565 36 1762 8 12 0 51 washbasin
1567251604 27 1760 8 13 5 103 kitchenfaucet
1571773272 27 1759 10 21 1 69 kitchenfaucet
1556293105 31 1758 4 17 4 63 bidet
1552658522 101 1758 3 15 4 20 washbasin
1570365118 25 1757 10 14 6 72 kitchenfaucet
1553066527 30 1755 3 8 2 63 kitchenfaucet
1550687609 60 1755 2 19 2 31 washbasin
1569328922 42 1754 9 14 1 76 washbasin
1559202107 51 1753 5 9 3 38 washbasin
1572176165 47 1750 10 12 6 42 washbasin
1565888107 49 1749 8 18 3 38 bidet
1558268228 28 1749 5 14 6 65 kitchenfaucet
1569090913 25 1749 9 20 5 76 kitchenfaucet
1571695566 35 1746 10 0 1 54 bidet
1563385090 34 1743 7 19 2 54 bidet
1571773100 26 1742 10 21 1 72 bidet
1558677959 87 1741 5 8 4 22 washbasin
1567493928 61 1738 9 8 1 33 washbasin
1564210029 45 1736 7 8 5 40 kitchenfaucet
1562802840 39 1733 7 1 3 47 kitchenfaucet
1559651651 12 1729 6 14 1 180 kitchenfaucet
1571773300 49 1729 10 21 1 42 kitchenfaucet
1569245730 38 1728 9 15 0 49 kitchenfaucet
1555571249 28 1726 4 9 3 65 bidet
1553328711 37 1723 3 9 5 49 kitchenfaucet
1551080988 40 1720 2 8 0 45 washbasin
1562915220 39 1719 7 9 4 47 bidet
1570559698 23 1719 10 20 1 85 kitchenfaucet
1560494347 48 1716 6 8 4 38 washbasin
1567102788 25 1715 8 20 3 96 kitchenfaucet
1564526433 52 1715 7 0 2 36 washbasin
1559396714 36 1705 6 15 5 51 kitchenfaucet
1560697392 25 1705 6 17 6 74 kitchenfaucet
1565286409 38 1705 8 19 3 47 washbasin
1566492849 40 1705 8 18 3 45 washbasin
1564493804 31 1704 7 15 1 58 kitchenfaucet
1550399593 44 1702 2 11 6 40 washbasin
1564992316 24 1701 8 10 0 74 washbasin
1560943810 46 1699 6 13 2 38 washbasin
1568798193 28 1697 9 11 2 74 bidet
1562960719 41 1697 7 21 4 47 washbasin
1556778363 35 1696 5 8 3 54 bidet
1570601359 29 1696 10 8 2 60 bidet
1571032287 44 1696 10 7 0 40 bidet
1564957270 83 1695 8 0 0 31 kitchenfaucet
1565024849 17 1695 8 19 0 135 kitchenfaucet
1553794702 34 1694 3 18 3 54 washbasin
1561545921 29 1693 6 12 2 63 kitchenfaucet
1563109385 21 1692 7 15 6 85 bidet
1568063788 56 1691 9 23 0 33 washbasin
1562505121 34 1690 7 15 6 56 bidet
1558351272 30 1689 5 13 0 76 kitchenfaucet
1555029934 29 1689 4 2 4 60 washbasin
1560197037 17 1687 6 22 0 108 washbasin
1559891766 47 1685 6 9 4 40 kitchenfaucet
1558506977 37 1685 5 8 2 49 washbasin
1553498076 58 1681 3 8 0 31 bidet
1550997757 39 1681 2 9 6 45 washbasin
1553627672 38 1681 3 20 1 47 washbasin
1553616599 28 1680 3 17 1 65 kitchenfaucet
1559654797 56 1680 6 15 1 31 washbasin
1565021865 24 1680 8 18 0 74 washbasin
1565046172 94 1673 8 1 1 20 kitchenfaucet
1564992402 71 1673 8 10 0 29 washbasin
1565108505 36 1672 8 18 1 49 bidet
1571472994 27 1672 10 10 5 67 kitchenfaucet
1557178753 22 1671 5 23 0 81 kitchenfaucet
1562504086 36 1671 7 14 6 49 kitchenfaucet
1566030429 31 1671 8 10 5 60 kitchenfaucet
1558165508 31 1668 5 9 5 56 bidet
1553411081 55 1667 3 8 6 33 kitchenfaucet
1559386418 26 1667 6 12 5 67 kitchenfaucet
1571509453 35 1667 10 20 5 49 washbasin
1568006975 64 1666 9 7 0 45 washbasin
1568811262 11 1664 9 14 2 184 kitchenfaucet
1551192980 13 1664 2 15 1 135 washbasin
1560287802 38 1663 6 23 1 47 bidet
1561119360 70 1662 6 14 4 31 kitchenfaucet
1550701368 17 1662 2 23 2 105 washbasin
1559021239 21 1657 5 7 1 85 bidet
1560008750 40 1657 6 17 5 45 kitchenfaucet
1567581609 80 1654 9 9 2 22 washbasin
1560921586 50 1650 6 7 2 36 kitchenfaucet
1563568919 73 1650 7 22 4 29 kitchenfaucet
1563182052 22 1649 7 11 0 126 bidet
1569243027 10 1648 9 14 0 175 kitchenfaucet
1557774668 41 1643 5 21 0 49 bidet
1557470042 43 1642 5 8 4 40 washbasin
1564962824 41 1642 8 1 0 42 washbasin
1568751767 27 1640 9 22 1 63 bidet
1559541855 57 1637 6 8 0 31 washbasin
1571293401 49 1636 10 8 3 36 washbasin
1568674055 36 1630 9 0 1 56 kitchenfaucet
1557954066 32 1628 5 23 2 56 kitchenfaucet
1569781346 37 1628 9 20 6 45 washbasin
