duration liters month hour day max_flow fixture num_fixture av_flow_rate sec_from_midnight
22 1305 2 20 5 63 washbasin 4 59.3181818181818 71813
35 1301 3 17 2 38 washbasin 4 37.1714285714286 60915
33 1290 9 9 1 40 washbasin 4 39.0909090909091 26519
20 1274 10 11 6 67 washbasin 4 63.7 34394
18 1270 6 17 1 74 washbasin 4 70.5555555555556 55147
24 1269 2 11 1 54 washbasin 4 52.875 37288
33 1269 5 8 1 40 washbasin 4 38.4545454545455 22372
41 1266 4 8 2 33 washbasin 4 30.8780487804878 24007
23 1264 4 12 4 56 washbasin 4 54.9565217391304 38311
35 1264 6 18 4 45 washbasin 4 36.1142857142857 57705
29 1257 3 14 4 45 washbasin 4 43.3448275862069 49975
30 1257 8 18 6 45 washbasin 4 41.9 59987
38 1255 10 8 4 36 washbasin 4 33.0263157894737 24123
72 1252 5 16 3 20 washbasin 4 17.3888888888889 53126
40 1251 3 16 5 33 washbasin 4 31.275 55468
31 1251 3 12 5 47 washbasin 4 40.3548387096774 41999
75 1249 6 17 4 18 washbasin 4 16.6533333333333 54716
30 1249 10 21 3 45 washbasin 4 41.6333333333333 69333
33 1248 10 15 0 40 washbasin 4 37.8181818181818 48215
35 1247 4 12 0 40 washbasin 4 35.6285714285714 37074
32 1245 3 21 2 40 washbasin 4 38.90625 73639
17 1244 4 9 5 76 washbasin 4 73.1764705882353 28649
30 1238 8 19 6 42 washbasin 4 41.2666666666667 61789
19 1233 2 22 6 74 washbasin 4 64.8947368421053 75911
28 1230 10 19 0 47 washbasin 4 43.9285714285714 67155
10 1228 10 18 1 128 washbasin 4 122.8 60402
44 1226 9 19 1 29 washbasin 4 27.8636363636364 64635
33 1224 10 14 6 40 washbasin 4 37.0909090909091 44781
24 1223 10 16 3 54 washbasin 4 50.9583333333333 50473
30 1220 10 21 0 42 washbasin 4 40.6666666666667 72628
21 1219 2 8 1 63 washbasin 4 58.0476190476191 28259
40 1219 5 7 3 33 washbasin 4 30.475 19981
28 1217 6 17 4 117 washbasin 4 43.4642857142857 54965
38 1213 3 7 2 33 washbasin 4 31.9210526315789 25044
18 1211 6 8 2 69 washbasin 4 67.2777777777778 23962
39 1210 3 12 5 33 washbasin 4 31.025641025641 41769
42 1203 10 7 1 31 washbasin 4 28.6428571428571 19957
25 1193 7 11 5 49 washbasin 4 47.72 35414
